LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
96,2021-12-20,15:50:54.118,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener/cdump| TNS |null||listener,20f5f451,Successfully added directory : <*>
97,2021-12-20,15:50:54.136,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener/trace| TNS |null||listener,20f5f451,Successfully added directory : <*>
98,2021-12-20,15:50:54.293,PST,INFO,26127-72,Action,Creating new Action : runinventory,fd7417a8,Creating new Action : <*>
99,2021-12-20,15:50:54.313,PST,INFO,26127-72,Action,"Action persisted : runinventory, Status : REQUESTED",0664b4ae,Action persisted : <*> Status : <*>
100,2021-12-20,15:50:55.143,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan1/cdump| TNS |null||listener_scan1,20f5f451,Successfully added directory : <*>
101,2021-12-20,15:50:55.149,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan1/trace| TNS |null||listener_scan1,20f5f451,Successfully added directory : <*>
102,2021-12-20,15:50:56.156,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan2/cdump| TNS |null||listener_scan2,20f5f451,Successfully added directory : <*>
103,2021-12-20,15:50:57.165,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan2/trace| TNS |null||listener_scan2,20f5f451,Successfully added directory : <*>
104,2021-12-20,15:50:58.171,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan3/cdump| TNS |null||listener_scan3,20f5f451,Successfully added directory : <*>
105,2021-12-20,15:50:58.176,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan3/trace| TNS |null||listener_scan3,20f5f451,Successfully added directory : <*>
106,2021-12-20,15:50:58.179,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/oraInventory/ContentsXML| INSTALL |null||,20f5f451,Successfully added directory : <*>
107,2021-12-20,15:50:58.187,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/oraInventory/logs| INSTALL |null||,20f5f451,Successfully added directory : <*>
108,2021-12-20,15:50:58.222,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /opt/oracle.ahf/data/repository/suptools/den00xrz/oswbb/oradb/archive| OS |null||,20f5f451,Successfully added directory : <*>
109,2021-12-20,15:50:58.223,PST,INFO,26127-1,TFAMain,Done reading tfa_directories.txt in TFAMain,f4464ce6,Done reading tfa_directories.txt in TFAMain
