EventId,EventTemplate,Occurrences
61db99f3,"Components in Entity : omsi, emagent, acfs, asmproxy, sosreport, crsclient, emagenti, oms, qos, dbwlm, ocm, cha, cfgtools, afd, dbclient, rdbms, cvu, os, crs, em, chmos, asmio, dataguard, install, compliance, tns, asm, rhp, emplugins, wls",4
c85e942f,"startDate : Mon Dec <*> <*>:<*>:<*> PST <*> endDate : Mon Dec <*> <*>:<*>:<*> PST <*> zipFileShortName : tfa<*><*>.zip components : {omsi=null, emagent=null, acfs=null, asmproxy=null, crsclient=null, emagenti=null, oms=null, dbwlm=null, ocm=null, cha=null, afd=null, cfgtools=null, dbclient=null, rdbms=null, os=null, crs=null, em=null, asmio=null, dataguard=null, install=null, tns=null, asm=null, rhp=null, emplugins=null, wls=null} actions : {acfs=null, rdbms=null, cvu=null, os=null, crs=null, chmos=null, sosreport=null, dataguard=null, qos=null, compliance=null, asm=null, cha=null, afd=null} remoteHosts : den<*>xrz chmNodelist : isClusterRequest : true isTrimOn : true isACRSanitize: falseisACRMask: false noCore : true isNologs : false request user : root",4
3a5d9ec3,Registering Thread : <*>,21
634328a6,Collecting CHM using new API,7
90c05e9c,Updating endDate after inventory : Mon Dec <*> <*>:<*>:<*> PST <*>,4
d9bf38e7,ZipException : duplicate entry: <*>,89
0ddd46d9,"Components with ADR :{omsi=null, emagent=null, acfs=null, asmproxy=null, crsclient=null, emagenti=null, oms=null, dbwlm=null, ocm=null, cha=null, afd=null, cfgtools=null, dbclient=null, rdbms=null, os=null, crs=null, em=null, asmio=null, dataguard=null, install=null, tns=null, asm=null, rhp=null, emplugins=null, wls=null}",4
69f68039,Populate zip txt metrics hash,6
92202063,Completed writing metrics to zip.txt,6
729b7015,Creating Zip Metadata Json File for zip : <*><*><*><*><*><*>,6
351f74d5,Generating File : <*><*><*><*><*><*>,6
4deba683,Metadata Json File :<*><*><*><*><*><*>,6
cbe954e1,Adding <*> Data,12
d26d6f06,Node List Set : den<*>xrz,6
c8974c42,Completed : <*> <*> Data,18
7da857da,Adding Initiating Events Data,6
299f7789,Initiating Events <*> <*> <*>,6
ac4b79f7,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>c<*>a<*>db,1
d43c92f5,Completed : <*> <*> <*> Data,12
3eaec5f4,Gathering TFA Config Data,6
e5ee8d77,Gathering <*> <*> <*> Data,12
26e8275b,Querying for Events: From : <*> To : <*>,6
fadd5ec5,Processing returned event Fields: <*> source<*>path=<*><*><*><*><*><*><*><*><*><*>,190
3a6fde98,"Processing returned event Fields: {instance=NULL, source_type=CRS Alert Log, source=alert.log, content=<*>-<*>-<*> <*>:<*>:<*>.<*> ORAROOTAGENT(<*>) CRS-<*>: Agent '<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",1
1d241ae0,"Processing returned event Fields: {instance=+ASM<*>, source<*>+ASM<*>.log, <*> ALTER DISKGROUP ALL DISMOUNT <*>/<*><*><*><*><*><*><*><*><*><*><*><*>",2
d338284b,Completed : Gathering Events in Period Data,6
eae61ca1,Unable to read events file : <*><*><*><*><*><*><*><*><*><*>,6
aa9a636c,Gathering <*> Data,12
67ae6536,Gathering SRDC Data For : <*>,6
d7c93730,Completed : Gathering SRDC Data For : <*>,6
35745520,Completed creating Zip Metadata Json File for zip : <*><*><*><*><*><*>,6
72c21a62,Adding zip info json file <*><*><*><*><*><*>,6
b728abc3,Completed Adding zip info json file to <*><*><*><*><*><*>,6
b66d25d2,Collecting last <*> lines for : <*><*><*><*><*><*><*>,6
ee9cbdb2,"adding to queueORA-<*>: archiver error, Event NameORA-<*>",1
f62a7bd2,Adding critical event: ORA-<*>: archiver errorTime: <*>-<*>-<*>T<*>:<*>:<*>Z,1
b1d51b8d,Adding event to localEventsForMC with collection id <*> - ORA-<*>: archiver error,1
2f5bbb9f,adding to queueORA-<*>: <*> <*> <*> <*> <*> Event NameORA-<*>,4
d264fb43,Adding critical event: ORA-<*>: <*> <*> <*> <*> <*> <*>-<*>-<*>T<*>:<*>:<*>Z,4
66879491,adding to queueORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> Event NameORA-<*>,2
76a7a81c,Adding critical event: ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>-<*>-<*>T<*>:<*>:<*>Z,2
f4ae6f7d,Adding event to localEventsForMC with collection id <*> - ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
4054c04b,"Match found for Regex : \ ?( a-zA-Z:_\-<*>-<*> {<*>,})?\ , Event Arg : <*>",3
3f0a5c88,"adding to queueORA-<*>: <*> <*> <*> arguments: <*> , , , , Event NameORA-<*>",2
18bb5310,"Adding critical event: ORA-<*>: <*> <*> <*> arguments: <*> , , , Time: <*>-<*>-<*>T<*>:<*>:<*>Z",2
23ace189,srdcCriticalEventsID : <*>,10
e75f947c,adding to queueORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> Event NameORA-<*>,6
d17c24f8,Adding critical event: ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*>-<*>-<*>T<*>:<*>:<*>Z,6
55b56781,Adding event to localEventsForMC with collection id <*> - ORA-<*>: PGA memory used by the instance exceeds PGA<*>LIMIT,1
16286a89,"adding to queueORA-<*>: object no longer exists, Event NameORA-<*>",1
1a3a2e63,Adding event to localEventsForMC with collection id <*> - ORA-<*>: object no longer exists,1
60cabb03,adding to queueORA-<*>: <*> <*> <*> <*> <*> <*> <*> Event NameORA-<*>,6
d5f34e7c,Adding critical event: ORA-<*>: <*> <*> <*> <*> <*> <*> <*> <*>-<*>-<*>T<*>:<*>:<*>Z,6
0cd10cf8,Adding event to localEventsForMC with collection id <*> - ORA-<*>: <*> <*> <*> <*> <*> <*> <*>,6
17efbd5a,adding to queueORA-<*>: <*> <*> <*> <*> <*> <*> Event NameORA-<*>,2
7235617c,"adding to queueORA-<*>: global enqueue process LMS (OSID <*>) is hung for more than <*> seconds, Event NameORA-<*>",1
79d17b57,Adding critical event: ORA-<*>: global enqueue process LMS (OSID <*>) is hung for more than <*> secondsTime: <*>-<*>-<*>T<*>:<*>:<*>Z,1
2c14f4f4,Adding event to localEventsForMC with collection id <*> - ORA-<*>: global enqueue process LMS (OSID <*>) is hung for more than <*> seconds,1
141b02e8,Match found for Regex : \ ?( a-zA-Z:<*>test,1
3c73a238,"adding to queueORA-<*>: internal error code, arguments: dbgtu:self<*>test , fake assert , , , , , , , , , , , Event NameORA-<*>",1
08386d71,"Adding critical event: ORA-<*>: internal error code, arguments: dbgtu:self<*>test , fake assert , , , , , , , , , , Time: <*>-<*>-<*>T<*>:<*>:<*>Z",1
e955eda2,Action args in DiagCollection: -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*><*> -tag <*>h :<*>den<*>xrz,2
d3f208af,flags for diagcollect -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*><*> -tag <*>h,2
8ae096ad,Getting all critical events now : <*>,1
dbc0a664,DATAorg.glassfish.json.JsonArrayBuilderImpl@<*>e<*>,1
b649a5d4,"Processing returned event Fields: {instance=orcl<*>, source<*>test , fake assert , , , , , , , , , , , pdbname=null, hostname=den<*>xrz, component=RDBMS, database=orcl, tracefile=<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",5
f97dc485,"Processing returned event Fields: {instance=orcl<*>, source<*>orcl<*>.log, content=Incident details in: <*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>",5
7fa75ad1,Collection wait time is done,1
b2371882,Merged Collection initiating node - den<*>xrz,1
8803d942,Components not yet Collected by Initiating Node,1
f6a49843,MCComponentsNotCollected set to True,1
150c1353,Getting component list from remote nodes,1
